,NIC,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-23,2023-12-24,2023-12-25,2023-12-28,2023-12-29,2023-12-30,2023-12-31,2024-01-01,2024-01-02,2024-01-09,2024-01-10,2024-01-20,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-03-07
46,606586647,81.20875000000001,81.2125,81.22500000000001,81.235,81.2475,81.29875,81.31125,81.32,81.346875,81.358125,81.373125,81.38499999999999,81.394375,81.39875,81.55000000000001,81.564375,81.71625,81.75875,81.785625,81.8125,81.83875,81.86500000000001,81.8925,81.91875,81.93875,81.965,81.99249999999999,82.02,82.278125,82.2975,82.325625,82.35437499999999,82.3825,82.41125,82.438125,82.466875,82.4875,82.51625,82.546875,82.57562499999999,82.59562500000001,82.62375,82.651875,82.673125,82.7025,82.730625,82.936875
47,606587424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30954.565625000003,30954.570625
48,606588201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6731.676875,6731.678125
49,606589098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74034.6725,74034.6725
50,606590824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,606591601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.801874999999995,36.871875
52,606592498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.349375,13.392499999999998
53,606593275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565177.81,566672.73
54,606594052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71354.43875,71508.73749999999
55,606597303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285081.105,285182.12,0,0,0,0,0,0,285996.125
56,INTMT_2818,827250.2999999999,829146.6599999999,834521.22,839387.7000000001,844464.42,864387.2999999999,869709.42,874388.1000000001,886873.3800000001,891736.02,896562.6599999999,901442.8200000001,905425.86,907185.78,957564.1799999999,962301.6599999999,992909.1000000001,2739.234375,7438.5,12109.5,16866.28125,21729.09375,26750.109375,31926.51375,36911.95125,42031.40625,47074.36125,52184.67375,100077.4725,104791.2225,109496.3925,114556.0725,119554.1775,124283.3925,129306.375,134605.965,139467.945,144458.715,149575.065,154890.97499999998,158489.02500000002,163742.055,169211.685,174171.52500000002,179210.25,183961.395,224050.785
